date,market_group,arrivals,index_2019
2025-01-01,ASEAN,469595,86.56433536602133
2025-01-01,Americas,123882,124.29497003795109
2025-01-01,Europe,303681,112.59451050425686
2025-01-01,Greater China,406615,117.6854788779579
2025-01-01,North Asia,40228,54.57696677802839
2025-01-01,Oceania,155882,144.29476928915744
2025-01-01,Other,1767060,101.15447377011495
2025-01-01,Total,1633495,102.54197318102267
2025-02-01,ASEAN,413144,76.15825502924758
2025-02-01,Americas,114065,114.44524432426736
2025-02-01,Europe,319302,118.38624211929698
2025-02-01,Greater China,290928,84.2025035943252
2025-02-01,North Asia,55917,75.86209235674191
2025-02-01,Oceania,92533,85.6547124532249
2025-02-01,Other,1469105,84.0981874911122
2025-02-01,Total,1377513,86.47280897860726
2025-03-01,ASEAN,423908,78.14247229280417
2025-03-01,Americas,121220,121.62409605915654
2025-03-01,Europe,290619,107.7515684163205
2025-03-01,Greater China,211936,61.340062839489164
2025-03-01,North Asia,65644,89.05862601115878
2025-03-01,Oceania,90659,83.92001314446648
2025-03-01,Other,1389211,79.52469506448855
2025-03-01,Total,1296605,81.39384273375792
2025-04-01,ASEAN,504557,93.00917036866582
2025-04-01,Americas,94809,95.12505298855447
2025-04-01,Europe,262346,97.26890866649468
2025-04-01,Greater China,244028,70.6283635370813
2025-04-01,North Asia,31872,43.24045652653179
2025-04-01,Oceania,131593,121.81125194100726
2025-04-01,Other,1538056,88.04525330717006
2025-04-01,Total,1403644,88.11317169853803
2025-05-01,ASEAN,471399,86.89688162609714
2025-05-01,Americas,84016,84.29607370488448
2025-05-01,Europe,207239,76.83712106582792
2025-05-01,Greater China,276638,80.06658757261911
2025-05-01,North Asia,40530,54.98668746926248
2025-05-01,Oceania,103713,96.00366563994807
